epoch,accuracy,loss,val_accuracy,val_loss
0,0.5135135054588318,1.053570032119751,0.43478259444236755,0.7866793274879456
1,0.5765765905380249,0.6364277601242065,0.5652173757553101,0.690185546875
2,0.4864864945411682,0.6922281384468079,0.5652173757553101,0.6512129306793213
3,0.7027027010917664,0.6292132139205933,0.8260869383811951,0.5754567980766296
4,0.9009009003639221,0.5366510152816772,0.8260869383811951,0.4631572365760803
5,0.9009009003639221,0.4103940725326538,0.8260869383811951,0.4177854657173157
6,0.9009009003639221,0.3477606475353241,0.8260869383811951,0.4225623905658722
7,0.9009009003639221,0.30743998289108276,0.8260869383811951,0.46292778849601746
8,0.9009009003639221,0.30315619707107544,0.8260869383811951,0.47499653697013855
9,0.9009009003639221,0.2964451014995575,0.8260869383811951,0.42911097407341003
10,0.9009009003639221,0.2843790054321289,0.8260869383811951,0.3982396721839905
11,0.9009009003639221,0.2727266848087311,0.8260869383811951,0.3818381726741791
12,0.9009009003639221,0.2619225084781647,0.8260869383811951,0.37498217821121216
13,0.9009009003639221,0.23910821974277496,0.8260869383811951,0.32654905319213867
14,0.9009009003639221,0.2285017967224121,0.8260869383811951,0.3158535957336426
15,0.9009009003639221,0.21316562592983246,0.8260869383811951,0.2918688654899597
16,0.9009009003639221,0.18735729157924652,0.8260869383811951,0.25760355591773987
17,0.9009009003639221,0.1702074557542801,0.8260869383811951,0.25068575143814087
18,0.9009009003639221,0.160080224275589,0.8260869383811951,0.24345062673091888
19,0.9009009003639221,0.14833088219165802,0.8260869383811951,0.22647768259048462
20,0.9099099040031433,0.14274658262729645,0.8695651888847351,0.20671436190605164
21,0.9639639854431152,0.1287529617547989,0.8695651888847351,0.21435123682022095
22,0.9639639854431152,0.11689302325248718,0.95652174949646,0.16999945044517517
23,0.9729729890823364,0.10949329286813736,0.95652174949646,0.13436713814735413
24,0.9729729890823364,0.09548792243003845,0.9130434989929199,0.20535048842430115
25,0.9639639854431152,0.09791649132966995,0.95652174949646,0.13432729244232178
26,0.9729729890823364,0.0753101333975792,0.95652174949646,0.18280144035816193
27,0.9729729890823364,0.06640960276126862,0.95652174949646,0.12632247805595398
28,0.9729729890823364,0.0626024678349495,0.9130434989929199,0.3471848666667938
29,0.9819819927215576,0.06372096389532089,0.9130434989929199,0.22864754498004913
30,0.9729729890823364,0.05290772765874863,0.95652174949646,0.2229757308959961
31,0.9729729890823364,0.04117536172270775,0.8695651888847351,0.7135816812515259
32,0.9369369149208069,0.11464474350214005,0.9130434989929199,0.1567566692829132
